term_key,campaign_name,ad_group_name,impressions_ads_detail,clicks_ads_detail,cost_ads_detail,conversions_ads_detail,search_budget_lost_impression_share_detail,ctr_ads_detail,avg_cpc_ads_detail,cpa_ads_detail,detail_recommendation
skincare acne,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare adolescente,WG_Search | Soluções | nbd,search | produtos de skincare,4,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare adolescente,WG_Shopping | Best Sellers | nbd,shopping | best sellers,99,3,2.12,0.0,0.1216678938796651,0.030303030303030304,0.7066666666666667,,monitorar
skincare adolescente,WG_Shopping | Portfólio Geral | nbd,todos,34,1,0.59,0.0,0.0019842830030239,0.029411764705882353,0.59,,monitorar
skincare anti idade,WG_Search | Soluções | nbd,search | produtos de skincare,1,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare anti idade,WG_Shopping | Best Sellers | nbd,shopping | best sellers,64,1,2.1,0.0,0.1216678938796651,0.015625,2.1,,monitorar
skincare anti idade,WG_Shopping | Portfólio Geral | nbd,todos,45,1,2.4,0.0,0.0019842830030239,0.022222222222222223,2.4,,monitorar
skincare arroz,WG_Search | Soluções | nbd,search | produtos de skincare,1,1,0.46977,0.0,0.0793697977877321,1.0,0.46977,,monitorar
skincare arroz,WG_Shopping | Best Sellers | nbd,shopping | best sellers,16,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
skincare arroz,WG_Shopping | Portfólio Geral | nbd,todos,10,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare asiatico,WG_Shopping | Best Sellers | nbd,shopping | best sellers,24,1,0.18,0.0,0.1216678938796651,0.041666666666666664,0.18,,monitorar
skincare asiatico,WG_Shopping | Portfólio Geral | nbd,todos,7,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare baratinha,WG_Shopping | Best Sellers | nbd,shopping | best sellers,4,1,0.45,0.0,0.1216678938796651,0.25,0.45,,monitorar
skincare baratinha,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare baratinho,WG_Shopping | Best Sellers | nbd,shopping | best sellers,5,1,0.71,0.0,0.1216678938796651,0.2,0.71,,monitorar
skincare baratinho,WG_Shopping | Portfólio Geral | nbd,todos,1,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare barato,WG_Search | Soluções | nbd,search | produtos de skincare,7,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare barato,WG_Shopping | Best Sellers | nbd,shopping | best sellers,138,1,0.53,0.0,0.1216678938796651,0.007246376811594203,0.53,,monitorar
skincare barato,WG_Shopping | Portfólio Geral | nbd,todos,58,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare barato que funciona,WG_Shopping | Best Sellers | nbd,shopping | best sellers,19,1,0.59,0.0,0.1216678938796651,0.05263157894736842,0.59,,monitorar
skincare barato que funciona,WG_Shopping | Portfólio Geral | nbd,todos,8,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare china,WG_Shopping | Best Sellers | nbd,shopping | best sellers,33,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
skincare china,WG_Shopping | Portfólio Geral | nbd,todos,9,1,0.56,0.0,0.0019842830030239,0.1111111111111111,0.56,,monitorar
skincare chinesa,WG_Search | Soluções | nbd,search | produtos de skincare,6,0,0.0,0.0,0.0793697977877321,0.0,,,monitorar
skincare chinesa,WG_Shopping | Best Sellers | nbd,shopping | best sellers,40,1,0.11,0.0,0.1216678938796651,0.025,0.11,,monitorar
skincare chinesa,WG_Shopping | Portfólio Geral | nbd,todos,28,0,0.0,0.0,0.0019842830030239,0.0,,,monitorar
skincare como fazer,WG_Search | Soluções | nbd,search | produtos de skincare,3,1,1.21,0.0,0.0793697977877321,0.3333333333333333,1.21,,monitorar
skincare como fazer,WG_Shopping | Best Sellers | nbd,shopping | best sellers,40,0,0.0,0.0,0.1216678938796651,0.0,,,monitorar
